id,question,answer,follow-ups
18613,ELI5: What is the point/difference of using coffee creamer instead of milk?,"Coffee creamer is shelf-stable and light...much easier to store, much more portable. Milk needs a fridge.   I have absolutely no idea why you'd use \*both\* in one drink, unless you just really like that particular flavour profile.",Can you describe the types of sweeteners typically used in coffee creamers?
9000,ELI5: How instant is instant death?,Dramatic blood pressure drops will make a person unconscious. If the disconnect between the heart and brain is large enough (like severe damage to the heart or sliced neck arteries) the person goes unconscious before they might be declared officially dead…. But the time between the two would be maybe a few seconds.,How do forensic pathologists assess the extent and nature of injuries to align with legal standards of instant death?
7313,ELI5: Why is music in movies always so loud?,"It's because you're listening to audio mixed for a 5.1 or higher surround sound system and your TV is 2.0. 5.1 and higher expect a center channel for voice which your TV doesn't have.  Your TV likely has settings to try to mitigate this, or you can check in the language settings of your streaming service or DVD for a 2.1 surround option.","Why is it important to balance dialogue, sound effects, and music in movie audio mixing?"
18317,"ELI5: How did ""s"" become the letter that pluralises nouns (""one apple, ten apples"") in so many languages?","fun fact, in Afrikaans we use 'e' instead of 's' (most of the times):  hond = honde  muis = muise  tand = tande  deur = deure","Why did the English language favor the ""-as"" ending in Old English?"
15446,ELI5: Why we use different size of wire sizes and quantities for different applicants?,"The guy under answered the thickness question, when we use many wires it's because we use them for connecting devices that communicates, like in Ethernet cable we have 2 twisted pairs, many cables use more then one line because you may want to sand not only power but data",What are the potential consequences of using undersized wires in electrical systems?
1039,ELI5 how do the cameras work that can see through clothing?,"Not an expert so ill give you an educated guess until someone gives better details.  I've seen some of those pictures a long time ago but i dont remember super well.  Anyways its just like X-ray. Its something that pierces your clothes but bounces back from the skin sonar style. So yeah its not a clear picture but a 3d model of the person. Still very good quality. You can see peenises, titties etc.  Wear iron armor beneath your clothes and noone will ever see you naked.",What kind of materials can terahertz waves penetrate?
12127,eli5 How do video downloaders work?,"To show you the video your computer has to download it. A video downloader will see a video file being downloaded and save it to a more permanent folder. For non YouTube ones it might just grab any file it sees, which can lead to you downloading ads.",How do video downloaders analyze network traffic to capture video content?
14943,Eli5 How do players go pro into esports?,Do you mean how do they develop the skills to be professional or what defines them as professional? The answer to the former is discipline and practice. The answer to the later is that they are sponsored and between sponsorships and winnings from tournaments make some or all of their living wage by gaming competitively.,What are some key elements that mentorship might cover for aspiring professional esports players?
6082,ELI5: What is aerodynamics and does it play a part when skydiving?,"Aero = air, dynamics = movement.  [Aerodynamics](https://en.wikipedia.org/wiki/Aerodynamics) is the study of how air movement affects objects, in other words, how different shapes of objects will fall or fly through air, and how air will move around these objects, and drag at them.  When you're skydiving, gravity pulls you down, and the air hits your body and pushes it.  You can move your arms and legs to turn, tumble, fall slightly faster or slower, etc.  If you're wearing a [wing suit](https://previews.123rf.com/images/victorkozlov/victorkozlov2001/victorkozlov200100902/138222924-djibouti-extreme-men-in-wing-suit-templet-skydiving-men-in-parashute-simulator-of-free-fall-.jpg) you can glide a little bit better (rather than just falling like a rock), and the way the air interacts with the wing surfaces of the suit is part of aerodynamics.",How do aerodynamic principles apply to the design and deployment of parachutes?
16021,Eli5: Why did Germany betray Russia in ww2?,"Because they always planned to do so.  The entire plan of Hitler's was to invade the Soviet Union and conquer the heavily populated eastern parts.  He then planned to kill most of the population through starvation, move in Germans to all be farmers and have the surviving Soviet population be used as slave labour.  Germany needed to invade the USSR.  All that ECONOMIC MIRACLES of the 1930s was on huge amounts of debt.  The only thing that was going to pay for it was conquest.  The Germans plundered as much as they could from every country that they conquered to pay off their debtors.",What economic conditions in Germany during the 1930s led to the need for conquest?
